"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "log", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 6, 15
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Home.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 23, 6, 58
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Maps.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 3, 14
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\News.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 8, 4, 35
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\_layout.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 3, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\_layout.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 6, 36
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\index.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 1, 3, 10
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\search-details\[id].js", "JavaScript", 177, 0, 0, 0, 0, 49, 20, 246
"d:\Program-Files\Coding-Files\project-wboson\goalFever\babel.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\LiveMatchesCard.jsx", "JavaScript JSX", 0, 0, 0, 163, 0, 0, 4, 167
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\SearchCard.jsx", "JavaScript JSX", 0, 0, 0, 179, 0, 2, 6, 187
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\UpcomingMatchesCard.jsx", "JavaScript JSX", 0, 0, 0, 184, 0, 15, 4, 203
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\ExtraInformationContainer.jsx", "JavaScript JSX", 0, 0, 0, 119, 0, 1, 4, 124
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchImageContainer.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 4, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchImageManagers.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 3, 21
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesFilter.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 5, 86
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesList.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 3, 6, 46
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesListContainer.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 1, 5, 41
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesTitle.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 3, 4, 44
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarCard.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 1, 5, 64
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQuery.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 4, 4, 105
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\RecentSearches.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 3, 45
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SearchResults.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 3, 33
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\SortButtons.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 4, 68
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\livematches\LiveMatches.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 5, 9, 89
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\recentmatches\RecentMatches.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 2, 3, 18
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\recentmatches\SearchScreenTab.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 1, 7, 36
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\SearchButtons.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 5, 97
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\welcome\Welcome.jsx", "JavaScript JSX", 0, 0, 0, 96, 0, 3, 10, 109
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapMarker.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 3, 16
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ViewOfMap.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 15, 7, 70
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsContent.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 4, 3, 19
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsFooter.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 4, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsHeading.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 2, 4, 38
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsList.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 3, 3, 28
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\news\NewsListCard.jsx", "JavaScript JSX", 0, 0, 0, 117, 0, 0, 3, 120
"d:\Program-Files\Coding-Files\project-wboson\goalFever\constants\icons.js", "JavaScript", 22, 0, 0, 0, 0, 0, 2, 24
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\postData.js", "JavaScript", 32, 0, 0, 0, 0, 0, 4, 36
