"filename", "language", "log", "JavaScript", "JSON", "Draw.io", "JavaScript JSX", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Maps.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 5
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\search-events\SearchEvents.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 12, 21, 204
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\UpcomingMatchesCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\mapscomponents\PhoneCallButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 5, 62
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\mapscomponents\StadiumCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 4, 4, 160
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchImageManagers.jsx", "JavaScript JSX", 0, 0, 0, 0, -18, 0, -3, -21
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 2, 6, 135
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCardContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 7, 61
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarCard.jsx", "JavaScript JSX", 0, 0, 0, 0, -58, -1, -5, -64
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQuery.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryForAutoComplete.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 4, 4, 101
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQueryMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 4, 4, 106
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchdetails\RecentSearches.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, 0, -6
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResult.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 7, 18, 189
