"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Home.jsx", "JavaScript JSX", 0, 0, 1, -1, 0, 0
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\event-details\[id].js", "JavaScript", 0, 215, 0, 0, 6, 221
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\UpcomingMatchesCard.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 5
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\EventDetailsMainTop.jsx", "JavaScript JSX", 0, 0, 184, 0, 4, 188
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\LeagueSelectionMenu.jsx", "JavaScript JSX", 0, 0, 53, 0, 4, 57
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\Lineup.jsx", "JavaScript JSX", 0, 0, 128, 5, 7, 140
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\OddsBar.jsx", "JavaScript JSX", 0, 0, 66, 1, 6, 73
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\lineupData.json", "JSON", 6522, 0, 0, 0, 1, 6523
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesListContainer.jsx", "JavaScript JSX", 0, 0, 44, 5, 8, 57
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResult.jsx", "JavaScript JSX", 0, 0, 8, 0, 1, 9
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResultMoreDates.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 1
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsContainer.jsx", "JavaScript JSX", 0, 0, -3, 0, 0, -3
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MapsSearchScreen.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 5
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ToggleSwitch.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 4
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\ViewOfMap.jsx", "JavaScript JSX", 0, 0, 12, -132, -9, -129
"d:\Program-Files\Coding-Files\project-wboson\goalFever\constants\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetch.js", "JavaScript", 0, 0, 0, 0, -1, -1
"d:\Program-Files\Coding-Files\project-wboson\goalFever\hook\useFetchLineups.js", "JavaScript", 0, 23, 0, 1, 5, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\package.json", "JSON", 3, 0, 0, 0, 0, 3
"d:\Program-Files\Coding-Files\project-wboson\goalFever\utils\index.js", "JavaScript", 0, 10, 0, 0, 3, 13
"Total", "-", 6525, 249, 508, -121, 36, 7197
