"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Home.jsx", "JavaScript JSX", 2, 0, -2, 0, 0
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\event-details\[id].js", "JavaScript", 0, 13, 0, 2, 15
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\leagues-details\[id].js", "JavaScript", 0, 137, 0, 9, 146
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\players-details\[id].js", "JavaScript", 0, 85, 0, 7, 92
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\LiveMatchesCard.jsx", "JavaScript JSX", 8, 0, 0, 2, 10
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\UpcomingMatchesCard.jsx", "JavaScript JSX", 40, 0, -5, 5, 40
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\ExtraInformationContainer.jsx", "JavaScript JSX", 10, 0, 2, 2, 14
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCard.jsx", "JavaScript JSX", 1, 0, 0, 1, 2
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\EventDetailsMainTop.jsx", "JavaScript JSX", 24, 0, 0, 3, 27
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\managerdetails\ManagerTransfers.jsx", "JavaScript JSX", 77, 0, 0, 2, 79
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\playerdetails\PlayerDetailsMainTop.jsx", "JavaScript JSX", 128, 0, 2, 7, 137
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesListContainer.jsx", "JavaScript JSX", -8, 0, 0, -1, -9
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResult.jsx", "JavaScript JSX", -8, 0, 0, -1, -9
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchevents\SearchEventsResultMoreDates.jsx", "JavaScript JSX", -1, 0, 0, 0, -1
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\ManagerInfo.jsx", "JavaScript JSX", 11, 0, 0, 0, 11
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\MoreInformation.jsx", "JavaScript JSX", 42, 0, 0, 0, 42
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamDetailsMainTop.jsx", "JavaScript JSX", 8, 0, 0, 0, 8
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamSeasons.jsx", "JavaScript JSX", -7, 0, 9, 1, 3
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\teamdetails\TeamsMatches.jsx", "JavaScript JSX", -8, 0, 0, -1, -9
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\home\livematches\LiveMatches.jsx", "JavaScript JSX", -13, 0, -5, -2, -20
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\maps\MoreInformationStadiumCard.jsx", "JavaScript JSX", -56, 0, 0, -5, -61
"Total", "-", 250, 235, 1, 31, 517
