"filename", "language", "JavaScript", "Markdown", "Draw.io", "JSON", "JavaScript JSX", "log", "comment", "blank", "total"
"d:\Program-Files\Coding-Files\project-wboson\goalFever\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 6, 15
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 21, 6, 58
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\Maps.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\News.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 8, 4, 35
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\(tabs)\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 3, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 6, 36
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\event-details\[id].js", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 8, 192
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 6, 0, 1, 3, 10
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\leagues-details\[id].js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 9, 146
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\manager-details\[id].js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 6, 92
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\players-details\[id].js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 7, 92
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\search-details\[id].js", "JavaScript", 177, 0, 0, 0, 0, 0, 49, 20, 246
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\search-events\SearchEvents.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 12, 21, 204
"d:\Program-Files\Coding-Files\project-wboson\goalFever\app\team-details\[id].js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 7, 119
"d:\Program-Files\Coding-Files\project-wboson\goalFever\babel.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\LiveMatchesCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 6, 177
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\SearchCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 209, 0, 2, 7, 218
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\UpcomingMatchesCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 231, 0, 10, 9, 250
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\mapscomponents\PhoneCallButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 5, 62
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\mapscomponents\StadiumCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 4, 4, 160
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\ExtraInformationContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 3, 6, 161
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchImageContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 128, 0, 2, 7, 137
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\cards\searchcomponents\SearchTeamCardContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 7, 61
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\AnimatedStatistics.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 0, 6, 91
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\EventDetailsMainTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 208, 0, 0, 7, 215
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\LeagueSelectionMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 4, 57
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\Lineup.jsx", "JavaScript JSX", 0, 0, 0, 0, 128, 0, 5, 7, 140
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\OddsBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 1, 6, 73
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\StatsBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 1, 4, 48
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\lineupData.json", "JSON", 0, 0, 0, 6522, 0, 0, 0, 1, 6523
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\eventdetails\statsData.json", "JSON", 0, 0, 0, 995, 0, 0, 0, 1, 996
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\managerdetails\ManagerTransfers.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 1, 9, 166
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\playerdetails\PlayerDetailsMainTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 128, 0, 2, 7, 137
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 5, 86
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 3, 6, 46
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesListContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 6, 12, 89
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\recentmatchescomponents\RecentMatchesTitle.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 3, 4, 44
"d:\Program-Files\Coding-Files\project-wboson\goalFever\components\common\searchbar\SearchBarQuery.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 4, 4, 106
